نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
أرض,سكني, الرياض , حي المهدية ,شمالية,450,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099800
أرض,سكني, الرياض , حي الشرق ,شرقية,360,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864000
أرض,تجاري وسكني, الرياض , حي المصيف ,شمالية,1270,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5715000
أرض,سكني, الرياض , حي المهدية ,جنوبية,1258,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145000
فيلا,سكني, الرياض , حي بدر ,غربية,250,0,5,3,5,0,1,0,0,0,0,1,0,0,1,0,850000
فيلا,سكني, الرياض , حي الرمال ,جنوبية شرقية,555,0,6,5,5,0,1,1,1,1,1,1,0,0,1,0,3850000
أرض,سكني, امارة منطقة الرياض, الرياض ,شرقية,750,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431250
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,255,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382500
فيلا,سكني, الرياض , حي الزهرة ,جنوبية,500,0,5,2,5,0,0,1,1,0,1,1,0,0,1,0,880000
فيلا,سكني, امارة منطقة الرياض, الرياض ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700000
أرض,سكني, الرياض , حي العارض ,جنوبية,390,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,800,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000
فيلا,سكني, الرياض , حي الازدهار ,غربية,200,0,4,4,5,0,1,0,1,0,0,1,0,0,1,1,2400000
فيلا,سكني, الرياض , حي الندى ,شمالية شرقية,525,0,6,3,5,12,1,1,1,0,1,1,1,1,1,1,5700000
فيلا,سكني, حي قرطبة , شارع جبل مره ,شرقية,750,0,5,2,4,0,1,0,1,1,0,1,0,0,1,1,4500000
فيلا,سكني, الرياض , حي النزهة ,شمالية,336,0,5,4,5,0,1,1,1,1,0,1,0,0,1,0,3500000
أرض,تجاري وسكني, الرياض , حي القيروان ,شمالية,692,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428800
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,425,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550000
أرض,تجاري وسكني, الرياض , حي ظهرة لبن ,جنوبية,900,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099800
أرض,سكني, حريملاء, الرياض ,جنوبية,630,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150000
أرض,تجاري وسكني, الرياض , حي نمار ,جنوبية غربية,1200,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800000
فيلا,سكني, الرياض , حي الجنادرية ,شمالية,375,0,4,1,4,0,0,1,0,0,0,1,0,0,1,0,1200000
أرض,سكني, الرياض , حي النظيم ,جنوبية,833,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307810
أرض,تجاري وسكني, الرياض , حي القادسية ,شمالية,312,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936000
فيلا,سكني, الرياض , حي طويق ,شرقية,350,0,5,3,5,20,1,1,1,0,1,1,0,0,1,0,1200000
أرض,سكني, الرياض , حي العارض ,غربية,450,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160000
